,time,2dmu,2dmv
0,0.0,0.4970000000000001,0.511
1,0.0,0.4970000000000001,0.511
2,0.0,0.4970000000000001,0.511
3,0.0,0.4970000000000001,0.511
4,0.0,0.4970000000000001,0.511
5,0.0,0.4970000000000001,0.511
6,0.0,0.4970000000000001,0.511
7,0.0,0.4970000000000001,0.511
8,0.0,0.4970000000000001,0.511
9,0.0,0.4970000000000001,0.511
10,0.0,0.4970000000000001,0.511
11,0.0,0.4970000000000001,0.511
12,0.0,0.4970000000000001,0.511
13,0.0,0.4970000000000001,0.511
14,0.0,0.4970000000000001,0.511
15,0.0,0.4970000000000001,0.511
16,0.0,0.4970000000000001,0.511
17,0.0,0.4970000000000001,0.511
18,0.0,0.4970000000000001,0.511
19,0.0,0.4970000000000001,0.511
20,0.0,0.4970000000000001,0.511
21,0.0,0.4970000000000001,0.511
22,0.0,0.4970000000000001,0.51
23,0.0,0.4970000000000001,0.51
24,0.0,0.4970000000000001,0.51
25,0.0,0.4970000000000001,0.51
26,0.0,0.4970000000000001,0.51
27,0.0,0.4970000000000001,0.51
28,0.0,0.4970000000000001,0.51
29,0.0,0.4970000000000001,0.51
30,0.0,0.4970000000000001,0.51
31,0.0,0.4970000000000001,0.51
32,0.0,0.498,0.51
33,0.0,0.498,0.51
34,0.0,0.498,0.509
35,0.0,0.498,0.509
36,0.0,0.498,0.509
37,0.0,0.498,0.509
38,0.0,0.498,0.509
39,0.0,0.498,0.509
40,0.0,0.498,0.509
41,0.0,0.498,0.509
42,0.0,0.499,0.509
43,0.0,0.499,0.509
44,0.0,0.499,0.509
45,0.0,0.499,0.509
46,0.0,0.499,0.509
47,0.0,0.499,0.509
48,0.0,0.499,0.509
49,0.0,0.499,0.509
50,0.0,0.5,0.509
51,0.0,0.5,0.509
52,0.0,0.5,0.509
53,0.0,0.5,0.509
54,0.0,0.5,0.509
55,0.0,0.5,0.509
56,0.0,0.5,0.509
57,0.0,0.5,0.509
58,0.0,0.5,0.509
59,0.02,0.499,0.509
60,0.0,0.5,0.509
61,0.02,0.499,0.508
62,0.02,0.499,0.508
63,0.02,0.499,0.509
64,0.02,0.499,0.508
65,0.02,0.499,0.508
66,0.059,0.499,0.508
67,0.059,0.499,0.508
68,0.059,0.499,0.508
69,0.059,0.499,0.508
70,0.1,0.498,0.508
71,0.1,0.498,0.508
72,0.1,0.498,0.508
73,0.1,0.498,0.508
74,0.1,0.498,0.508
75,0.1,0.498,0.508
76,0.14,0.498,0.508
77,0.14,0.498,0.508
78,0.14,0.498,0.508
79,0.14,0.498,0.508
80,0.18,0.498,0.508
