,time,2dmu,2dmv
0,0.0,0.513,0.506
1,0.0,0.513,0.506
2,0.0,0.513,0.506
3,0.0,0.513,0.506
4,0.0,0.513,0.507
5,0.0,0.513,0.507
6,0.0,0.513,0.506
7,0.0,0.513,0.506
8,0.0,0.512,0.506
9,0.0,0.512,0.506
10,0.0,0.512,0.506
11,0.0,0.512,0.506
12,0.0,0.512,0.505
13,0.0,0.512,0.505
14,0.0,0.512,0.505
15,0.0,0.512,0.505
16,0.0,0.512,0.505
17,0.0,0.512,0.505
18,0.0,0.512,0.505
19,0.0,0.512,0.505
20,0.0,0.512,0.505
21,0.0,0.512,0.505
22,0.0,0.512,0.505
23,0.0,0.512,0.505
24,0.0,0.513,0.505
25,0.0,0.513,0.505
26,0.0,0.513,0.505
27,0.0,0.513,0.505
28,0.0,0.516,0.507
29,0.0,0.516,0.507
30,0.0,0.516,0.507
31,0.0,0.516,0.507
32,0.0,0.517,0.507
33,0.0,0.517,0.507
34,0.0,0.517,0.507
35,0.0,0.517,0.507
36,0.0,0.516,0.505
37,0.0,0.516,0.505
38,0.0,0.516,0.505
39,0.0,0.516,0.505
40,0.0,0.516,0.504
41,0.0,0.516,0.504
42,0.0,0.516,0.504
43,0.0,0.516,0.504
44,0.0,0.516,0.504
45,0.0,0.516,0.504
46,0.0,0.515,0.504
47,0.0,0.515,0.504
48,0.0,0.515,0.504
49,0.0,0.515,0.504
50,0.041,0.515,0.505
51,0.041,0.515,0.505
52,0.041,0.515,0.505
53,0.041,0.515,0.505
54,0.041,0.515,0.505
55,0.041,0.515,0.505
56,0.081,0.514,0.507
57,0.081,0.514,0.507
58,0.081,0.514,0.507
59,0.081,0.514,0.507
60,0.121,0.515,0.507
61,0.121,0.515,0.507
62,0.121,0.514,0.507
63,0.121,0.514,0.507
64,0.121,0.514,0.507
65,0.121,0.514,0.507
66,0.161,0.515,0.507
67,0.161,0.515,0.507
68,0.161,0.515,0.507
69,0.161,0.515,0.507
70,0.203,0.515,0.507
71,0.203,0.515,0.507
72,0.203,0.515,0.507
73,0.203,0.515,0.507
74,0.243,0.515,0.507
75,0.243,0.515,0.507
76,0.243,0.516,0.506
77,0.243,0.516,0.506
78,0.243,0.516,0.506
79,0.243,0.516,0.506
80,0.285,0.516,0.506
81,0.285,0.516,0.506
82,0.285,0.516,0.506
83,0.285,0.516,0.506
84,0.325,0.516,0.506
85,0.325,0.516,0.506
86,0.325,0.516,0.506
87,0.325,0.516,0.506
88,0.325,0.516,0.506
89,0.325,0.516,0.506
90,0.3670000000000001,0.517,0.506
91,0.3670000000000001,0.517,0.506
92,0.3670000000000001,0.517,0.506
93,0.3670000000000001,0.517,0.506
94,0.408,0.517,0.506
95,0.408,0.517,0.506
96,0.408,0.517,0.506
97,0.408,0.517,0.506
98,0.408,0.517,0.506
99,0.408,0.517,0.506
100,0.448,0.517,0.506
101,0.448,0.517,0.506
102,0.448,0.517,0.506
103,0.448,0.517,0.506
104,0.488,0.517,0.506
105,0.488,0.517,0.506
106,0.488,0.518,0.506
107,0.488,0.518,0.506
108,0.488,0.518,0.506
109,0.488,0.518,0.506
110,0.53,0.518,0.505
111,0.53,0.518,0.505
112,0.53,0.518,0.505
113,0.53,0.518,0.505
114,0.57,0.518,0.505
115,0.57,0.518,0.505
116,0.57,0.519,0.505
117,0.57,0.519,0.505
118,0.57,0.519,0.504
119,0.57,0.519,0.504
120,0.611,0.52,0.504
121,0.611,0.52,0.504
122,0.611,0.52,0.504
123,0.611,0.52,0.504
124,0.6509999999999999,0.52,0.504
125,0.6509999999999999,0.52,0.504
126,0.6509999999999999,0.52,0.504
127,0.6509999999999999,0.52,0.504
128,0.6920000000000001,0.521,0.503
129,0.6920000000000001,0.521,0.503
130,0.6920000000000001,0.521,0.503
131,0.6920000000000001,0.521,0.503
132,0.6920000000000001,0.522,0.503
133,0.6920000000000001,0.522,0.503
134,0.7340000000000001,0.522,0.504
135,0.7340000000000001,0.522,0.504
136,0.7340000000000001,0.522,0.504
137,0.7340000000000001,0.522,0.504
138,0.774,0.522,0.504
139,0.774,0.522,0.504
140,0.774,0.523,0.504
141,0.774,0.523,0.504
142,0.774,0.523,0.505
143,0.774,0.523,0.505
144,0.8140000000000001,0.523,0.505
145,0.8140000000000001,0.523,0.505
146,0.8140000000000001,0.523,0.505
147,0.8140000000000001,0.523,0.505
148,0.855,0.523,0.505
149,0.855,0.523,0.505
150,0.855,0.523,0.505
151,0.855,0.523,0.505
152,0.855,0.523,0.505
153,0.855,0.523,0.505
154,0.895,0.523,0.505
155,0.895,0.523,0.505
156,0.895,0.523,0.505
157,0.895,0.523,0.505
158,0.937,0.523,0.505
159,0.937,0.523,0.505
160,0.937,0.523,0.504
161,0.937,0.523,0.504
162,0.977,0.523,0.504
163,0.977,0.523,0.504
164,0.977,0.523,0.504
165,0.977,0.523,0.504
166,0.977,0.523,0.503
167,0.977,0.523,0.503
168,1.018,0.523,0.503
169,1.018,0.523,0.503
170,1.018,0.523,0.503
171,1.018,0.523,0.503
172,1.0590000000000002,0.523,0.503
173,1.0590000000000002,0.523,0.503
174,1.0590000000000002,0.523,0.503
175,1.0590000000000002,0.523,0.503
176,1.0590000000000002,0.523,0.503
177,1.0590000000000002,0.523,0.503
178,1.099,0.523,0.503
179,1.099,0.523,0.503
180,1.099,0.523,0.503
181,1.099,0.523,0.503
182,1.14,0.523,0.503
183,1.14,0.523,0.503
184,1.14,0.524,0.503
185,1.14,0.524,0.503
186,1.14,0.524,0.503
187,1.14,0.524,0.503
188,1.18,0.524,0.503
189,1.18,0.524,0.503
190,1.18,0.524,0.503
191,1.18,0.524,0.503
192,1.221,0.524,0.503
193,1.221,0.524,0.503
194,1.221,0.524,0.503
195,1.221,0.524,0.503
196,1.221,0.525,0.503
197,1.221,0.525,0.503
198,1.262,0.525,0.502
199,1.262,0.525,0.502
200,1.262,0.525,0.502
201,1.262,0.525,0.502
202,1.3030000000000002,0.525,0.502
203,1.3030000000000002,0.525,0.502
204,1.3030000000000002,0.525,0.502
205,1.3030000000000002,0.525,0.502
206,1.3430000000000002,0.525,0.502
207,1.3430000000000002,0.525,0.502
208,1.3430000000000002,0.525,0.502
209,1.3430000000000002,0.525,0.502
210,1.3430000000000002,0.525,0.502
211,1.3430000000000002,0.525,0.502
212,1.383,0.525,0.502
213,1.383,0.525,0.502
214,1.383,0.526,0.502
215,1.383,0.526,0.502
216,1.423,0.526,0.502
217,1.423,0.526,0.502
218,1.423,0.526,0.502
219,1.423,0.526,0.502
220,1.423,0.526,0.502
221,1.423,0.526,0.502
222,1.465,0.526,0.502
223,1.465,0.526,0.502
224,1.465,0.526,0.502
225,1.465,0.526,0.502
226,1.505,0.526,0.502
227,1.505,0.526,0.502
228,1.505,0.526,0.502
229,1.505,0.526,0.502
230,1.505,0.526,0.502
231,1.505,0.526,0.502
232,1.545,0.526,0.502
233,1.545,0.526,0.502
234,1.545,0.526,0.502
235,1.545,0.526,0.502
236,1.585,0.526,0.502
237,1.585,0.526,0.502
238,1.585,0.526,0.502
239,1.585,0.526,0.502
240,1.626,0.526,0.502
241,1.626,0.526,0.502
242,1.626,0.526,0.503
243,1.626,0.526,0.503
244,1.626,0.527,0.502
245,1.626,0.527,0.502
246,1.666,0.527,0.502
247,1.666,0.527,0.502
248,1.666,0.527,0.502
249,1.666,0.527,0.502
250,1.707,0.527,0.502
251,1.707,0.527,0.502
252,1.707,0.527,0.502
253,1.707,0.527,0.502
254,1.707,0.527,0.502
255,1.707,0.527,0.502
256,1.749,0.528,0.502
257,1.749,0.528,0.502
258,1.749,0.528,0.502
259,1.749,0.528,0.502
260,1.789,0.528,0.502
261,1.789,0.528,0.502
262,1.789,0.528,0.502
263,1.789,0.528,0.502
264,1.789,0.528,0.502
265,1.789,0.528,0.502
266,1.83,0.528,0.502
267,1.83,0.528,0.502
268,1.83,0.529,0.502
269,1.83,0.529,0.502
270,1.87,0.529,0.502
271,1.87,0.529,0.502
272,1.87,0.529,0.502
273,1.87,0.529,0.502
274,1.91,0.529,0.502
275,1.91,0.529,0.502
276,1.91,0.529,0.502
277,1.91,0.529,0.502
278,1.91,0.529,0.502
279,1.91,0.529,0.502
280,1.951,0.529,0.502
281,1.951,0.529,0.502
282,1.951,0.529,0.502
283,1.951,0.529,0.502
284,1.993,0.53,0.502
285,1.993,0.53,0.502
286,1.993,0.53,0.502
287,1.993,0.53,0.502
288,1.993,0.53,0.502
289,1.993,0.53,0.502
290,2.0340000000000003,0.53,0.502
291,2.0340000000000003,0.53,0.502
292,2.0340000000000003,0.53,0.502
293,2.0340000000000003,0.53,0.502
294,2.075,0.53,0.502
295,2.075,0.53,0.502
296,2.075,0.53,0.502
297,2.075,0.53,0.502
298,2.075,0.531,0.502
299,2.075,0.531,0.502
300,2.115,0.531,0.502
301,2.115,0.531,0.502
302,2.115,0.531,0.502
303,2.115,0.531,0.502
304,2.155,0.531,0.502
305,2.155,0.531,0.502
306,2.155,0.531,0.502
307,2.155,0.531,0.502
308,2.155,0.531,0.502
309,2.155,0.531,0.502
310,2.195,0.531,0.502
311,2.195,0.531,0.502
312,2.195,0.531,0.502
